Listing Title,Area,Distances to Railway Stations,Building Age,Stories Tall,Floor,Price,Administrative Costs,Deposit,Gratuity,Rooms,Square Meters,Links to Listing
ネオグラス,茨城県神栖市土合西２,"ＪＲ成田線/椎柴駅 歩211分,ＪＲ総武本線/松岸駅 歩155分,ＪＲ総武本線/銚子駅 歩128分",築4年,平屋,1階,5.8万円,3000円,-,-,2LDK,56m,https://suumo.jp/chintai/jnc_000055075565/?bc=100183986242
シエロ　ル　シャトー,茨城県神栖市知手中央１,ＪＲ鹿島線/鹿島神宮駅 歩210分,築6年,3階建,1階,5.8万円,4500円,-,5.8万円,1LDK,41.67m,https://suumo.jp/chintai/jnc_000037363886/?bc=100183515670
プラタナスヒルズB,神奈川県横浜市瀬谷区阿久和東２,"相鉄本線/希望ヶ丘駅 歩187分,相鉄本線/三ツ境駅 歩20分,ＪＲ横須賀線/戸塚駅 バス24分 (バス停)谷戸阿久和 歩2分",築27年,2階建,1階,7.2万円,5000円,7.2万円,7.2万円,2LDK,50m,https://suumo.jp/chintai/jnc_000055085789/?bc=100184003063
ＪＲ成田線 椎柴駅 2階建 築14年,茨城県神栖市土合西４,"ＪＲ成田線/椎柴駅 歩198分,ＪＲ成田線/下総豊里駅 歩198分,ＪＲ成田線/松岸駅 歩156分",築14年,2階建,-,5.7万円,3000円,-,5.7万円,2LDK,57.75m,https://suumo.jp/chintai/jnc_000013064874/?bc=100037907187
大歩住宅,茨城県猿島郡境町大字大歩,"東武日光線/南栗橋駅 歩164分,関東鉄道常総線/南石下駅 歩214分",築43年,2階建,-,6.3万円,-,6.3万円,-,4DK,94.62m,https://suumo.jp/chintai/jnc_000044914420/?bc=100183588176
コンフォール,茨城県神栖市土合東２,ＪＲ成田線/椎柴駅 歩190分,築14年,2階建,1-2階,5.8万円,3000円,-,-,2LDK,57.9m,https://suumo.jp/chintai/jnc_000053594999/?bc=100125593992
コンフォール,茨城県神栖市土合東２,ＪＲ成田線/椎柴駅 歩190分,築14年,2階建,1-2階,5.9万円,3000円,-,-,2LDK,57.9m,https://suumo.jp/chintai/jnc_000055008830/?bc=100184151658
グランドゥール大野原　I,茨城県神栖市大野原中央２,鹿島臨海鉄道/鹿島神宮駅 歩197分,築5年,2階建,1階,5.6万円,3800円,-,2.8万円,1LDK,31.69m,https://suumo.jp/chintai/jnc_000054837206/?bc=100183898555
シャトレひだまり,茨城県神栖市知手,"ＪＲ鹿島線/鹿島神宮駅 歩179分,ＪＲ成田線/笹川駅 歩166分,ＪＲ成田線/小見川駅 歩122分",築12年,2階建,1階,4.4万円,3000円,4.4万円,-,1K,29.75m,https://suumo.jp/chintai/jnc_000044003948/?bc=100183811850
サニーフラットフジA,茨城県坂東市辺田,"東武野田線/川間駅 歩173分,東武野田線/七光台駅 歩158分,東武野田線/清水公園駅 歩156分",築16年,2階建,1階,5.2万円,3500円,7.8万円,2.6万円,1LDK,44.6m,https://suumo.jp/chintai/jnc_000054478819/?bc=100184011295
サニーフラットフジB,茨城県坂東市辺田,"東武野田線/川間駅 歩173分,東武野田線/七光台駅 歩158分,東武野田線/清水公園駅 歩156分",築16年,2階建,2階,5.4万円,3500円,8万円,2万円,1LDK,44.6m,https://suumo.jp/chintai/jnc_000053941602/?bc=100184011205
サニーフラットフジD,茨城県坂東市辺田,"東武野田線/川間駅 歩173分,東武野田線/七光台駅 歩158分,東武野田線/清水公園駅 歩156分",築16年,2階建,2階,5.5万円,3500円,8万円,2万円,1LDK,44.6m,https://suumo.jp/chintai/jnc_000029809500/?bc=100184011101
ＪＲ成田線 小見川駅 2階建 築30年,茨城県神栖市賀,ＪＲ成田線/小見川駅 歩150分,築30年,2階建,1階,3.8万円,-,3.8万円,3.8万円,3DK,53.82m,https://suumo.jp/chintai/jnc_000050702441/?bc=100162780692
ＧＯＯＤ　ＬＵＣＫ,神奈川県足柄下郡箱根町仙石原,箱根登山鉄道/強羅駅 バス14分 (バス停)大原 歩7分,築9年,2階建,1階,6万円,2000円,-,-,1LDK,36.79m,https://suumo.jp/chintai/jnc_000055011709/?bc=100183786216
メゾネット・佐倉,茨城県稲敷市佐倉,"ＪＲ成田線/滑河駅 歩160分,関東鉄道竜ヶ崎線/竜ヶ崎駅 歩222分,ＪＲ成田線/下総神崎駅 歩181分",築10年,2階建,1-2階,5.65万円,3000円,-,-,2LDK,56.71m,https://suumo.jp/chintai/jnc_000055075561/?bc=100179994534
メゾネット・佐倉,茨城県稲敷市佐倉,"ＪＲ成田線/滑河駅 歩160分,関東鉄道竜ヶ崎線/竜ヶ崎駅 歩222分,ＪＲ成田線/下総神崎駅 歩181分",築10年,2階建,1-2階,5.75万円,3000円,-,-,2LDK,56.71m,https://suumo.jp/chintai/jnc_000055075562/?bc=100183673014
パラシオン鎌倉玉縄,神奈川県鎌倉市玉縄２,"ＪＲ横須賀線/大船駅 歩135分,湘南モノレール/富士見町駅 歩22分",築34年,3階建,3階,10万円,8000円,20万円,-,2SLDK,68.98m,https://suumo.jp/chintai/jnc_000020411812/?bc=100184020524
ハイムプラネット,茨城県桜川市真壁町白井,"ＪＲ水戸線/大和駅 歩152分,ＪＲ水戸線/新治駅 歩112分,ＪＲ水戸線/岩瀬駅 歩113分",築10年,2階建,1-2階,5.1万円,3000円,-,-,2LDK,56.5m,https://suumo.jp/chintai/jnc_000013064242/?bc=100183915173
サンク・クレール　ＡＢＣ,茨城県神栖市大野原１,ＪＲ成田線/笹川駅 歩146分,築18年,2階建,1階,6.2万円,3000円,-,3.1万円,2LDK,62.1m,https://suumo.jp/chintai/jnc_000013064342/?bc=100157214286
ブリズII,茨城県神栖市平泉東３,"ＪＲ成田線/水郷駅 歩145分,ＪＲ鹿島線/鹿島神宮駅 歩104分,ＪＲ成田線/小見川駅 歩106分",築17年,2階建,1階,4.8万円,2000円,-,-,2LDK,54.86m,https://suumo.jp/chintai/jnc_000055075566/?bc=100134636601
ブリズII,茨城県神栖市平泉東３,"ＪＲ成田線/水郷駅 歩145分,ＪＲ鹿島線/鹿島神宮駅 歩104分,ＪＲ成田線/小見川駅 歩106分",築17年,2階建,1階,5.3万円,2000円,-,-,2LDK,64.32m,https://suumo.jp/chintai/jnc_000055075567/?bc=100138441628
ＪＲ成田線 小見川駅 2階建 築32年,茨城県神栖市大野原４,ＪＲ成田線/小見川駅 歩123分,築32年,2階建,2階,4.2万円,3000円,4.2万円,-,3DK,49.68m,https://suumo.jp/chintai/jnc_000036639290/?bc=100109506524
プレグラン,茨城県猿島郡境町,"東武日光線/南栗橋駅 歩145分,東武日光線/幸手駅 歩144分,東武日光線/杉戸高野台駅 歩154分",築10年,2階建,1-2階,6万円,3000円,-,-,2SLDK,62m,https://suumo.jp/chintai/jnc_000054694017/?bc=100182323568
サンモールつばさ,茨城県坂東市沓掛,関東鉄道常総線/三妻駅 歩127分,築27年,2階建,1階,4.6万円,-,4.6万円,-,2DK,39.74m,https://suumo.jp/chintai/jnc_000055049576/?bc=100183860521
ビレッジフィールド,千葉県大網白里市南今泉,"ＪＲ外房線/大網駅 バス37分 (バス停)南今泉 歩5分,ＪＲ外房線/永田駅 歩157分,ＪＲ東金線/東金駅 車18分(12.9km)",築9年,2階建,2階,5.3万円,4000円,5.3万円,-,2LDK,56.31m,https://suumo.jp/chintai/jnc_000053827430/?bc=100183546365
ビレッジフィールド,千葉県大網白里市南今泉,"ＪＲ外房線/大網駅 バス37分 (バス停)南今泉 歩5分,ＪＲ外房線/永田駅 歩157分,ＪＲ東金線/東金駅 車18分(12.9km)",築9年,2階建,2階,5.3万円,4000円,5.3万円,-,2LDK,56.31m,https://suumo.jp/chintai/jnc_000044107806/?bc=100183546371
リヴィエールＡ,群馬県高崎市箕郷町矢原,ＪＲ上越線/群馬総社駅 歩132分,築17年,2階建,2階,4.25万円,3000円,-,-,2DK,53.44m,https://suumo.jp/chintai/jnc_000054964059/?bc=100184025604
ＪＲ総武本線 松岸駅 2階建 築14年,茨城県神栖市土合東２,"ＪＲ総武本線/松岸駅 歩137分,ＪＲ成田線/椎柴駅 歩192分,ＪＲ成田線/下総豊里駅 歩254分",築14年,2階建,1-2階,5.8万円,3000円,-,-,2LDK,57.9m,https://suumo.jp/chintai/jnc_000055083372/?bc=100184003582
ＪＲ総武本線 松岸駅 2階建 築14年,茨城県神栖市土合東２,"ＪＲ総武本線/松岸駅 歩137分,ＪＲ成田線/椎柴駅 歩192分,ＪＲ成田線/下総豊里駅 歩254分",築14年,2階建,1-2階,5.9万円,3000円,-,-,2LDK,57.9m,https://suumo.jp/chintai/jnc_000055083371/?bc=100137280892
ひかり荘,茨城県神栖市賀,"ＪＲ成田線/水郷駅 歩123分,ＪＲ成田線/小見川駅 歩89分,ＪＲ鹿島線/十二橋駅 歩153分",築25年,平屋,1階,5万円,-,5万円,-,3K,49.68m,https://suumo.jp/chintai/jnc_000036618967/?bc=100050145135
シオヤアパート,茨城県桜川市真壁町飯塚,ＪＲ水戸線/新治駅 歩96分,築52年,2階建,2階,3万円,-,3万円,-,2K,33m,https://suumo.jp/chintai/jnc_000052788966/?bc=100172771063
ミリオンドリーム,茨城県神栖市大野原８,ＪＲ成田線/笹川駅 歩139分,築7年,3階建,3階,6.7万円,3000円,6.7万円,-,2LDK,55.29m,https://suumo.jp/chintai/jnc_000055110485/?bc=100184112082
コンフォーティア,茨城県猿島郡境町大字長井戸,東武日光線/南栗橋駅 歩137分,築6年,2階建,2階,6.4万円,4000円,-,-,2LDK,57.94m,https://suumo.jp/chintai/jnc_000054971929/?bc=100163449199
モンテ・アンヴェリーノ,茨城県神栖市賀,ＪＲ鹿島線/鹿島神宮駅 バス30分 (バス停)鹿島セントラルホテル 歩27分,築12年,2階建,2階,4.6万円,3000円,4.6万円,-,1K,33.05m,https://suumo.jp/chintai/jnc_000054567645/?bc=100183805852
プルート,茨城県坂東市辺田,関東鉄道常総線/中妻駅 歩140分,築1年,2階建,2階,6.85万円,3500円,-,-,2LDK,59.1m,https://suumo.jp/chintai/jnc_000047556010/?bc=100183863310
ラ・トゥール一番館,茨城県神栖市平泉,"ＪＲ成田線/水郷駅 歩140分,ＪＲ鹿島線/鹿島神宮駅 歩103分,ＪＲ成田線/小見川駅 歩106分",築4年,2階建,2階,6.6万円,4000円,-,6.6万円,1LDK,39.74m,https://suumo.jp/chintai/jnc_000017718555/?bc=100074064415
ミリオンリーベン,茨城県神栖市大野原８,ＪＲ成田線/笹川駅 歩138分,築6年,3階建,3階,5.9万円,2000円,5.9万円,-,1LDK,40.15m,https://suumo.jp/chintai/jnc_000055110486/?bc=100184115039
グランソレイユ,茨城県神栖市土合西４,ＪＲ鹿島線/鹿島神宮駅 バス90分 (バス停)労災病院 歩39分,築14年,2階建,1階,5.9万円,3000円,-,-,2LDK,57.7m,https://suumo.jp/chintai/jnc_000055103507/?bc=100184093344
ヴェール　ポポラ,茨城県坂東市みどり町,関東鉄道常総線/水海道駅 歩139分,新築,2階建,1階,6.95万円,2500円,-,-,1LDK,50.49m,https://suumo.jp/chintai/jnc_000053992281/?bc=100183863281
ヴェール　ポポラ,茨城県坂東市みどり町,関東鉄道常総線/水海道駅 歩139分,新築,2階建,1階,6.95万円,2500円,-,-,1LDK,50.49m,https://suumo.jp/chintai/jnc_000053992283/?bc=100183863270
ヴェール　ポポラ,茨城県坂東市みどり町,関東鉄道常総線/水海道駅 歩139分,新築,2階建,1階,6.95万円,2500円,-,-,1LDK,50.49m,https://suumo.jp/chintai/jnc_000053992282/?bc=100183863265
ヴェール　ポポラ,茨城県坂東市みどり町,関東鉄道常総線/水海道駅 歩139分,新築,2階建,1階,7.15万円,2500円,-,-,1LDK,50.49m,https://suumo.jp/chintai/jnc_000053992284/?bc=100183863262
ヴェール　ポポラ,茨城県坂東市みどり町,関東鉄道常総線/水海道駅 歩139分,新築,2階建,1階,7.15万円,2500円,-,-,1LDK,50.49m,https://suumo.jp/chintai/jnc_000053992280/?bc=100183863314
ヴェール　ポポラ,茨城県坂東市みどり町,関東鉄道常総線/水海道駅 歩139分,新築,2階建,1階,7.7万円,2500円,-,-,2LDK,59.09m,https://suumo.jp/chintai/jnc_000053992288/?bc=100183863263
ヴェール　ポポラ,茨城県坂東市みどり町,関東鉄道常総線/水海道駅 歩139分,新築,2階建,1階,7.7万円,2500円,-,-,2LDK,59.09m,https://suumo.jp/chintai/jnc_000053992287/?bc=100183863278
ヴェール　ポポラ,茨城県坂東市みどり町,関東鉄道常総線/水海道駅 歩139分,新築,2階建,1階,7.7万円,2500円,-,-,2LDK,59.09m,https://suumo.jp/chintai/jnc_000053992286/?bc=100183863297
ヴェール　ポポラ,茨城県坂東市みどり町,関東鉄道常総線/水海道駅 歩139分,新築,2階建,1階,7.9万円,2500円,-,-,2LDK,59.09m,https://suumo.jp/chintai/jnc_000053992289/?bc=100183863254
ヴェール　ポポラ,茨城県坂東市みどり町,関東鉄道常総線/水海道駅 歩139分,新築,2階建,1階,7.9万円,2500円,-,-,2LDK,59.09m,https://suumo.jp/chintai/jnc_000053992285/?bc=100183863271
山武市松ケ谷ロ貸家,千葉県山武市松ヶ谷ロ,"ＪＲ東金線/求名駅 歩104分,ＪＲ総武本線/成東駅 歩105分,ＪＲ総武本線/松尾駅 歩116分",築35年,2階建,-,6.3万円,-,-,-,4SLDK,110.13m,https://suumo.jp/chintai/jnc_000054972741/?bc=100183526207
ルアナI,茨城県坂東市みどり町,"関東鉄道常総線/水海道駅 歩136分,関東鉄道常総線/北水海道駅 歩143分,関東鉄道常総線/中妻駅 歩167分",築1年,2階建,1階,6万円,2500円,-,-,1LDK,44.17m,https://suumo.jp/chintai/jnc_000054256468/?bc=100183714868
ルアナI,茨城県坂東市みどり町,"関東鉄道常総線/水海道駅 歩136分,関東鉄道常総線/北水海道駅 歩143分,関東鉄道常総線/中妻駅 歩167分",築1年,2階建,1階,6万円,2500円,-,-,1LDK,44.17m,https://suumo.jp/chintai/jnc_000054256467/?bc=100183714696
ルアナI,茨城県坂東市みどり町,"関東鉄道常総線/水海道駅 歩136分,関東鉄道常総線/北水海道駅 歩143分,関東鉄道常総線/中妻駅 歩167分",築1年,2階建,1階,6.2万円,2500円,-,-,1LDK,45.27m,https://suumo.jp/chintai/jnc_000054256469/?bc=100183714753
ルアナI,茨城県坂東市みどり町,"関東鉄道常総線/水海道駅 歩136分,関東鉄道常総線/北水海道駅 歩143分,関東鉄道常総線/中妻駅 歩167分",築1年,2階建,1階,6.2万円,2500円,-,-,1LDK,45.27m,https://suumo.jp/chintai/jnc_000054256466/?bc=100183714687
ルアナI,茨城県坂東市みどり町,"関東鉄道常総線/水海道駅 歩136分,関東鉄道常総線/北水海道駅 歩143分,関東鉄道常総線/中妻駅 歩167分",築1年,2階建,1階,6.8万円,2500円,-,-,2LDK,56.15m,https://suumo.jp/chintai/jnc_000054256472/?bc=100183714880
ルアナI,茨城県坂東市みどり町,"関東鉄道常総線/水海道駅 歩136分,関東鉄道常総線/北水海道駅 歩143分,関東鉄道常総線/中妻駅 歩167分",築1年,2階建,1階,6.8万円,2500円,-,-,2LDK,56.15m,https://suumo.jp/chintai/jnc_000054256471/?bc=100183714799
ルアナI,茨城県坂東市みどり町,"関東鉄道常総線/水海道駅 歩136分,関東鉄道常総線/北水海道駅 歩143分,関東鉄道常総線/中妻駅 歩167分",築1年,2階建,1階,7万円,2500円,-,-,2LDK,57.23m,https://suumo.jp/chintai/jnc_000054256470/?bc=100183714740
ルアナI,茨城県坂東市みどり町,"関東鉄道常総線/水海道駅 歩136分,関東鉄道常総線/北水海道駅 歩143分,関東鉄道常総線/中妻駅 歩167分",築1年,2階建,1階,7万円,2500円,-,-,2LDK,57.23m,https://suumo.jp/chintai/jnc_000054256473/?bc=100183714812
ルアナ　II,茨城県坂東市みどり町,関東鉄道常総線/水海道駅 歩136分,新築,2階建,1階,6万円,2500円,-,-,1LDK,44.17m,https://suumo.jp/chintai/jnc_000054256475/?bc=100183863289
ルアナ　II,茨城県坂東市みどり町,関東鉄道常総線/水海道駅 歩136分,新築,2階建,1階,6.2万円,2500円,-,-,1LDK,45.27m,https://suumo.jp/chintai/jnc_000054256474/?bc=100183863308
ルアナ　II,茨城県坂東市みどり町,関東鉄道常総線/水海道駅 歩136分,新築,2階建,1階,6.2万円,2500円,-,-,1LDK,45.27m,https://suumo.jp/chintai/jnc_000054256476/?bc=100183863249
エスポワール,千葉県野田市関宿台町,"東武日光線/杉戸高野台駅 車15分(10.0km),東武日光線/幸手駅 車13分(9.0km)",築15年,2階建,2階,5.35万円,3000円,-,-,2LDK,57.7m,https://suumo.jp/chintai/jnc_000055050365/?bc=100183879274
関東鉄道常総線 水海道駅 2階建 新築,茨城県坂東市みどり町,関東鉄道常総線/水海道駅 歩136分,新築,2階建,2階,6.8万円,2500円,-,-,2LDK,56.15m,https://suumo.jp/chintai/jnc_000055008803/?bc=100184135106
関東鉄道常総線 水海道駅 2階建 新築,茨城県坂東市みどり町,関東鉄道常総線/水海道駅 歩136分,新築,2階建,2階,7万円,2500円,-,-,2LDK,57.23m,https://suumo.jp/chintai/jnc_000055008804/?bc=100184135124
ＣＬＡＩＲ新出山,茨城県坂東市沓掛,"関東鉄道常総線/南石下駅 バス25分 (バス停)沓掛工業団地前 歩107分,関東鉄道常総線/石下駅 歩108分",築6年,2階建,1階,5.8万円,3000円,11.6万円,-,2LDK,65.83m,https://suumo.jp/chintai/jnc_000027135775/?bc=100183729285
Ｐａｓｔｏｒａｌｌ（パストラル）,茨城県神栖市賀,ＪＲ成田線/小見川駅 歩91分,築3年,3階建,1階,5.7万円,6300円,-,5.7万円,1LDK,33.83m,https://suumo.jp/chintai/jnc_000054837209/?bc=100153128566
関東鉄道常総線 水海道駅 2階建 新築,茨城県坂東市みどり町,関東鉄道常総線/水海道駅 歩136分,新築,2階建,1階,6万円,2500円,-,-,1LDK,44.17m,https://suumo.jp/chintai/jnc_000055008806/?bc=100184135114
関東鉄道常総線 水海道駅 2階建 新築,茨城県坂東市みどり町,関東鉄道常総線/水海道駅 歩136分,新築,2階建,1階,6.2万円,2500円,-,-,1LDK,45.27m,https://suumo.jp/chintai/jnc_000055008807/?bc=100184135109
関東鉄道常総線 水海道駅 2階建 新築,茨城県坂東市みどり町,関東鉄道常総線/水海道駅 歩136分,新築,2階建,1階,6.2万円,2500円,-,-,1LDK,45.27m,https://suumo.jp/chintai/jnc_000055008805/?bc=100184135119
テクノ・ソレアード,栃木県宇都宮市清原台６,"ＪＲ宇都宮線/宇都宮駅 バス40分 (バス停)光ヶ丘入口 歩2分,ＪＲ宇都宮線/岡本駅 車22分(12.4km),東武宇都宮線/東武宇都宮駅 車31分(12.2km)",築4年,3階建,3階,5.7万円,1500円,-,5.7万円,1LDK,53.36m,https://suumo.jp/chintai/jnc_000017910253/?bc=100183935734
カリーノII,茨城県龍ヶ崎市白羽２,"ＪＲ常磐線/佐貫駅 歩114分,関東鉄道竜ヶ崎線/佐貫駅 歩114分,関東鉄道竜ヶ崎線/竜ヶ崎駅 歩61分",築20年,2階建,2階,4.5万円,1700円,-,-,2LDK,58.12m,https://suumo.jp/chintai/jnc_000055130713/?bc=100184229799
稲敷戸建て,茨城県稲敷市上根本,"関東鉄道竜ヶ崎線/竜ヶ崎駅 歩106分,ＪＲ成田線/滑河駅 歩141分,ＪＲ成田線/安食駅 歩176分",築28年,2階建,1-2階,5.5万円,-,5.5万円,-,4DK,92.73m,https://suumo.jp/chintai/jnc_000048808608/?bc=100184002400
アーバンキャッスル,茨城県神栖市土合北１,ＪＲ総武本線/銚子駅 歩114分,築22年,2階建,2階,5.5万円,2000円,5.5万円,-,2K,49.68m,https://suumo.jp/chintai/jnc_000044951621/?bc=100132948452
LUMIERE南品川B,東京都品川区南品川４,"ＪＲ京浜東北線/大井町駅 歩12分,京急本線/新馬場駅 歩3分,ＪＲ山手線/大崎駅 歩18分",築10年,3階建,1階,8.5万円,4000円,4万円,4万円,1K,21.47m,https://suumo.jp/chintai/jnc_000038332056/?bc=100183697201
LUMIERE南品川B,東京都品川区南品川４,"ＪＲ京浜東北線/大井町駅 歩12分,京急本線/新馬場駅 歩3分,ＪＲ山手線/大崎駅 歩18分",築10年,3階建,1階,8.5万円,4000円,4万円,4万円,1K,21.47m,https://suumo.jp/chintai/jnc_000055145712/?bc=100183841829
LUMIERE南品川B,東京都品川区南品川４,"ＪＲ京浜東北線/大井町駅 歩12分,京急本線/新馬場駅 歩3分,ＪＲ山手線/大崎駅 歩18分",築10年,3階建,1階,8.5万円,4000円,4万円,4万円,1K,21.47m,https://suumo.jp/chintai/jnc_000038686172/?bc=100183628105
ＪＲ鹿島線 鹿島神宮駅 2階建 築3年,茨城県神栖市木崎,ＪＲ鹿島線/鹿島神宮駅 歩133分,築3年,2階建,2階,6.3万円,2000円,-,6.3万円,1LDK,53.57m,https://suumo.jp/chintai/jnc_000055002842/?bc=100183643848
ＣＡＳＡ二本松４,茨城県神栖市木崎,ＪＲ鹿島線/鹿島神宮駅 歩133分,築3年,2階建,2階,6.3万円,2000円,-,6.3万円,1LDK,53.57m,https://suumo.jp/chintai/jnc_000055037694/?bc=100183859633
Ｆｏｒｅｓｔ　Ｈｉｌｌｓ,栃木県宇都宮市清原台６,"ＪＲ宇都宮線/宇都宮駅 バス30分 (バス停)光が丘入口 歩1分,東武宇都宮線/東武宇都宮駅 バス35分 (バス停)光が丘入口 歩1分",築5年,3階建,1階,4.65万円,1500円,-,4.65万円,1K,31.65m,https://suumo.jp/chintai/jnc_000054677160/?bc=100183963830
グリーンテラスIII,茨城県古河市東諸川,ＪＲ宇都宮線/間々田駅 歩129分,築4年,2階建,1-2階,5.6万円,3000円,-,-,2LDK,57.3m,https://suumo.jp/chintai/jnc_000016266862/?bc=100074217844
グリーンテラスIII,茨城県古河市東諸川,ＪＲ宇都宮線/間々田駅 歩129分,築4年,2階建,1-2階,5.8万円,3000円,-,-,2LDK,56.7m,https://suumo.jp/chintai/jnc_000053222929/?bc=100132617804
セレーネ　Ｂ,茨城県坂東市辺田,関東鉄道常総線/水海道駅 歩131分,新築,2階建,1階,6.55万円,2500円,-,-,2LDK,53.63m,https://suumo.jp/chintai/jnc_000054278197/?bc=100183863306
セレーネ　Ｂ,茨城県坂東市辺田,関東鉄道常総線/水海道駅 歩131分,新築,2階建,1階,6.55万円,2500円,-,-,2LDK,53.63m,https://suumo.jp/chintai/jnc_000054278195/?bc=100183863311
セレーネ　Ｂ,茨城県坂東市辺田,関東鉄道常総線/水海道駅 歩131分,新築,2階建,1階,6.55万円,2500円,-,-,2LDK,53.63m,https://suumo.jp/chintai/jnc_000054278196/?bc=100183863251
セレーネ　Ｂ,茨城県坂東市辺田,関東鉄道常総線/水海道駅 歩131分,新築,2階建,1階,6.75万円,2500円,-,-,2LDK,53.63m,https://suumo.jp/chintai/jnc_000054278198/?bc=100183863284
セレーネ　Ｂ,茨城県坂東市辺田,関東鉄道常総線/水海道駅 歩131分,新築,2階建,1階,6.75万円,2500円,-,-,2LDK,53.63m,https://suumo.jp/chintai/jnc_000054278194/?bc=100183863309
セレーネ　Ｂ,茨城県坂東市辺田,関東鉄道常総線/水海道駅 歩131分,新築,2階建,1階,6.95万円,2500円,-,-,2LDK,57.55m,https://suumo.jp/chintai/jnc_000054278200/?bc=100183863264
セレーネ　Ｂ,茨城県坂東市辺田,関東鉄道常総線/水海道駅 歩131分,新築,2階建,1階,6.95万円,2500円,-,-,2LDK,57.55m,https://suumo.jp/chintai/jnc_000054278201/?bc=100183863248
セレーネ　Ｂ,茨城県坂東市辺田,関東鉄道常総線/水海道駅 歩131分,新築,2階建,1階,6.95万円,2500円,-,-,2LDK,57.55m,https://suumo.jp/chintai/jnc_000054278202/?bc=100183863287
セレーネ　Ｂ,茨城県坂東市辺田,関東鉄道常総線/水海道駅 歩131分,新築,2階建,1階,7.15万円,2500円,-,-,2LDK,57.55m,https://suumo.jp/chintai/jnc_000054278203/?bc=100183863267
セレーネ　Ｂ,茨城県坂東市辺田,関東鉄道常総線/水海道駅 歩131分,新築,2階建,1階,7.15万円,2500円,-,-,2LDK,57.55m,https://suumo.jp/chintai/jnc_000054278199/?bc=100183863307
セレーネ　Ａ,茨城県坂東市辺田,関東鉄道常総線/水海道駅 歩131分,新築,2階建,1階,6.55万円,2500円,-,-,2LDK,53.63m,https://suumo.jp/chintai/jnc_000054278186/?bc=100183863250
